Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDB33,OUT010,550.6634
FDP27,OUT046,3091.8638
FDO38,OUT010,149.4163
FDE28,OUT027,5734.075
FDO27,OUT035,1746.1271
DRL23,OUT027,2803.4375
FDS28,OUT046,1004.02277
FDX24,OUT013,1352.6387
FDZ02,OUT035,1600.8685
FDL46,OUT045,1682.0863
FDS60,OUT027,4813.9785
NCO06,OUT017,594.0987
FDO16,OUT035,1589.5165
FDC60,OUT049,1578.9166
FDA48,OUT018,3183.0918
FDZ36,OUT027,5106.578
FDK27,OUT045,1810.9973
FDW23,OUT018,506.4232
FDM14,OUT018,1487.6039
FDM14,OUT013,1594.1552
FDW60,OUT018,2354.304
FDE21,OUT013,2131.318
NCM42,OUT035,1872.371
FDY59,OUT010,145.60542
DRI49,OUT049,1326.9207
FDT28,OUT019,340.50494
FDQ22,OUT018,578.6509
FDR60,OUT049,1411.7593
FDC50,OUT019,72.53152
FDV24,OUT013,2308.7463
DRF48,OUT010,507.46423
FDQ47,OUT046,737.1055
DRN36,OUT049,1662.1996
NCY06,OUT035,2168.727
FDE52,OUT035,1630.1237
NCB54,OUT045,1909.1128
NCF31,OUT035,2517.8633
FDJ08,OUT027,4655.3027
NCC07,OUT017,1777.5782
NCD19,OUT027,1840.2667
FDL46,OUT049,1947.0854
FDM20,OUT045,3872.3992
NCI06,OUT010,626.95087
DRM11,OUT035,4213.1245
NCH07,OUT018,2290.0693
FDS23,OUT013,2162.985
FDO49,OUT018,551.43225
FDS35,OUT049,1167.1003
DRK39,OUT045,1320.916
DRI39,OUT049,1158.3253
FDV04,OUT017,2464.6611
NCN14,OUT035,3128.236
FDH08,OUT013,4034.6194
FDS20,OUT046,3217.999
FDV40,OUT049,1332.6381
FDZ48,OUT010,195.66714
FDS24,OUT027,2560.683
FDK44,OUT049,2660.3196
FDS48,OUT045,2431.6604
FDK26,OUT010,681.9596
FDD23,OUT045,3213.439
NCH54,OUT017,2709.5344
NCP14,OUT010,240.30946
FDM60,OUT010,112.91102
FDV24,OUT017,2279.3567
FDH08,OUT018,3408.6765
FDS12,OUT027,3658.6963
FDR39,OUT027,5054.575
FDP12,OUT027,1152.7001
DRF60,OUT027,5700.287
FDC09,OUT035,1896.3964
FDF50,OUT018,3040.1443
FDG28,OUT035,4006.9968
NCE19,OUT017,880.501
NCM53,OUT010,181.31561
NCN18,OUT049,1832.8075
FDF32,OUT035,3357.267
FDF11,OUT013,4065.4285
DRI59,OUT049,3827.3665
NCG54,OUT035,2831.583
FDM44,OUT046,1617.713
FDT57,OUT018,3475.7095
FDV24,OUT046,2278.5117
FDI50,OUT019,823.9322
FDS09,OUT035,901.58844
NCC31,OUT027,3845.4224
FDQ07,OUT019,650.6705
FDC22,OUT017,3155.4023
FDZ56,OUT046,2712.4028
FDZ40,OUT019,86.265594
FDS46,OUT027,3125.6497
DRD24,OUT045,1980.3097
FDV45,OUT017,3169.403
FDL26,OUT045,2417.4146
FDA56,OUT018,1747.2023
FDN27,OUT046,1482.384
FDM20,OUT049,4161.936
FDO16,OUT017,1432.2772
FDL03,OUT035,3212.3354
FDE58,OUT046,1802.5653
FDI02,OUT027,3072.9167
NCC55,OUT019,-60.05519
FDR03,OUT018,3010.5105
FDB14,OUT017,1711.3347
FDR45,OUT013,3955.4138
NCN07,OUT017,2221.4426
FDM51,OUT019,208.18408
FDT52,OUT027,5982.192
FDL26,OUT046,2540.2712
NCZ42,OUT046,3556.7705
DRI47,OUT019,467.22253
FDW40,OUT013,2295.517
FDN34,OUT046,2791.5693
FDS01,OUT035,3055.5215
NCG55,OUT045,1748.6915
FDC11,OUT035,1400.8792
FDX35,OUT018,3568.083
NCB06,OUT046,2577.5808
FDR09,OUT019,582.0769
FDC53,OUT017,1503.447
FDY45,OUT013,4059.725
FDA22,OUT010,392.6719
FDE02,OUT035,1602.07
FDW21,OUT045,1707.1074
FDV34,OUT046,1161.7874
FDS59,OUT049,1802.163
NCW17,OUT017,2236.181
NCK54,OUT046,1802.5565
FDG17,OUT019,655.3326
FDG35,OUT017,3152.3845
FDD08,OUT010,87.4099
NCO07,OUT017,3723.2837
FDJ10,OUT010,203.7022
FDW36,OUT017,1619.6664
FDW21,OUT010,156.63939
FDY19,OUT017,1918.8759
DRE03,OUT013,772.57495
NCC55,OUT049,840.2798
FDH52,OUT010,94.72919
FDO09,OUT017,4240.016
FDU43,OUT045,3751.0244
FDX09,OUT010,547.261
FDH40,OUT019,56.309433
FDW58,OUT017,1574.9617
FDC47,OUT017,3994.9866
NCR41,OUT035,1800.2838
DRG49,OUT035,3980.2756
FDC52,OUT027,3608.1033
FDY13,OUT046,1143.0695
FDY35,OUT013,1041.2522
FDI35,OUT017,3613.1055
NCU18,OUT049,2286.5623
FDY33,OUT018,2452.5688
FDC15,OUT027,4050.1013
FDU01,OUT049,3292.872
NCU42,OUT046,2812.0298
NCV29,OUT018,2771.1982
NCY30,OUT017,3276.9563
FDQ46,OUT049,1932.2053
FDG58,OUT027,4028.9097
FDK33,OUT017,3555.659
NCD07,OUT045,1661.9974
NCX29,OUT027,3924.6697
NCT42,OUT013,2283.1462
DRN59,OUT035,873.0826
FDI44,OUT035,1422.85
FDA45,OUT049,2198.4592
FDP31,OUT045,925.15454
FDY01,OUT046,1946.6456
FDT09,OUT018,1776.6106
DRH03,OUT027,2506.0117
FDA36,OUT018,2110.3088
NCF31,OUT017,2234.9978
FDG14,OUT049,2468.402
FDG28,OUT027,6157.595
FDU14,OUT049,4050.936
FDY47,OUT019,263.9288
FDI56,OUT049,1398.4474
DRD01,OUT013,851.6386
FDM22,OUT046,1009.969
FDH33,OUT013,815.7033
DRZ24,OUT013,1938.3688
NCQ38,OUT046,1417.3612
FDO16,OUT027,2779.209
FDU07,OUT027,3870.825
NCB07,OUT013,2958.5342
FDU48,OUT045,1789.1108
NCM43,OUT045,2707.5312
FDR31,OUT010,322.63226
DRK49,OUT018,592.539
NCI30,OUT010,703.3268
DRD60,OUT017,3255.761
NCG19,OUT046,3461.0662
FDH12,OUT035,1664.4788
FDM32,OUT035,1740.9601
FDM27,OUT035,2654.0432
NCU53,OUT027,4055.0554
NCQ18,OUT046,1620.3018
FDS10,OUT013,2812.3079
FDB33,OUT027,4171.158
FDI12,OUT013,1394.1859
NCW42,OUT013,3444.2495
NCC06,OUT018,1840.9122
FDW02,OUT017,2301.4702
NCD43,OUT017,1900.2792
FDM57,OUT018,973.68616
FDA58,OUT017,3711.3638
FDK56,OUT046,2953.54
FDP52,OUT045,3862.4832
FDW20,OUT018,2046.557
FDS52,OUT049,1764.2725
NCT29,OUT018,1601.9019
NCL54,OUT013,2872.4622
FDC05,OUT045,2957.7463
FDF34,OUT035,2957.3452
FDP03,OUT027,3389.811
FDD32,OUT010,128.7063
FDZ10,OUT045,2001.7074
FDZ40,OUT035,1143.2158
FDD51,OUT018,591.5269
NCY30,OUT019,502.51385
FDP58,OUT017,3587.4236
FDV49,OUT017,4122.2764
FDY24,OUT019,-3.1354291
NCO55,OUT017,1791.788
FDR13,OUT017,2038.8246
FDS51,OUT017,1077.4219
FDP26,OUT045,1561.8623
NCB54,OUT027,3284.4011
FDF32,OUT017,3216.3743
FDN31,OUT018,2658.0093
DRM48,OUT017,783.4339
FDN20,OUT049,2824.447
DRL01,OUT046,3605.3774
FDV56,OUT049,1429.6227
DRH13,OUT027,2744.3801
FDA03,OUT017,2556.6265
FDF47,OUT027,5563.4604
FDX32,OUT046,2529.3545
FDX57,OUT049,1648.5101
NCA30,OUT045,3170.226
FDO49,OUT013,811.14984
FDL04,OUT019,157.34848
DRM48,OUT035,792.38336
FDR16,OUT013,3587.744
NCC19,OUT018,2938.603
NCE42,OUT045,2867.7427
FDY24,OUT017,1013.58527
FDH19,OUT049,2768.6133
FDJ46,OUT013,2784.7468
FDN45,OUT010,631.8861
FDY08,OUT035,2229.0774
FDZ37,OUT035,1713.5176
NCT30,OUT045,866.5958
DRY23,OUT018,486.72934
NCZ30,OUT018,1773.884
FDC44,OUT018,1736.3658
FDB45,OUT035,1748.713
FDY04,OUT013,2504.5015
FDM27,OUT046,2783.961
FDZ43,OUT017,3862.0186
FDT39,OUT019,424.00867
NCC06,OUT019,333.13956
FDL15,OUT027,4093.3555
FDL57,OUT017,4248.5317
FDU08,OUT046,1650.5397
FDK40,OUT017,4233.891
FDQ12,OUT010,810.3701
FDS48,OUT017,2585.3594
FDP09,OUT045,3502.614
FDW21,OUT049,1741.5178
FDY25,OUT035,3135.1924
DRE13,OUT017,1389.094
FDV43,OUT019,-71.57399
FDD22,OUT045,1651.8928
FDM46,OUT019,158.33049
NCO30,OUT010,646.874
FDM25,OUT046,2922.941
NCN41,OUT049,2264.7317
FDU24,OUT045,1652.2002
FDZ50,OUT046,3077.078
FDP45,OUT013,4075.0955
NCM54,OUT045,2087.9263
FDW10,OUT019,490.41196
FDP20,OUT017,2011.5873
FDK32,OUT046,2543.716
FDN52,OUT049,1366.4529
FDM58,OUT045,1773.1061
FDZ46,OUT027,3142.8608
NCA18,OUT018,1491.8348
FDD35,OUT046,2041.0623
NCK31,OUT035,981.1488
FDI40,OUT027,2990.7295
FDT50,OUT019,146.78362
NCT06,OUT046,2563.8567
FDT31,OUT035,2992.9675
FDT45,OUT049,812.19696
FDT13,OUT045,3103.7952
FDO50,OUT045,1199.6406
NCU18,OUT010,256.91873
NCR54,OUT049,3129.513
NCO18,OUT018,2633.8318
FDU09,OUT045,919.3667
FDT13,OUT018,2954.599
FDE09,OUT046,1943.3424
NCK53,OUT019,203.5573
FDG45,OUT049,3614.9329
DRH15,OUT035,801.97974
FDO21,OUT019,713.7723
FDD14,OUT027,4801.9126
FDC09,OUT046,1755.0978
FDH45,OUT027,1078.8961
FDV32,OUT046,1131.9136
FDG12,OUT035,2024.1589
FDS32,OUT013,2000.5779
NCL55,OUT018,3254.935
DRE01,OUT035,3842.9868
DRE15,OUT049,1430.9729
NCL42,OUT045,3805.6848
FDP31,OUT013,1052.0945
FDN33,OUT018,1241.2769
FDZ59,OUT046,2572.6794
FDE45,OUT010,649.04596
FDJ07,OUT013,1747.5159
FDQ45,OUT018,2596.7598
FDM33,OUT027,5429.3145
FDO15,OUT010,158.72975
FDM46,OUT013,1466.234
FDR03,OUT045,3283.4712
FDY49,OUT018,2412.4827
FDQ60,OUT045,1793.6038
FDW10,OUT049,2342.2642
FDO51,OUT049,849.00696
FDJ40,OUT018,1490.4309
FDS20,OUT018,2780.991
FDU45,OUT013,1973.1421
FDV02,OUT035,2977.6238
FDN09,OUT046,3681.0698
NCM55,OUT027,4878.6914
FDN23,OUT018,2149.4668
FDY31,OUT010,418.05106
FDW03,OUT010,283.88998
FDD14,OUT046,2798.4048
FDV23,OUT017,2044.2826
DRI03,OUT045,2782.0518
FDN13,OUT035,1518.6672
FDF45,OUT027,1883.0745
FDU46,OUT035,1565.8617
FDB57,OUT049,4157.69
FDV12,OUT049,1809.6106
FDQ58,OUT013,2287.2852
NCA18,OUT017,1802.9634
FDH52,OUT049,1058.3141
FDM24,OUT018,2183.7185
NCP43,OUT027,4760.6655
NCO18,OUT019,486.4101
FDM32,OUT017,1525.9625
NCL07,OUT017,736.3387
FDK03,OUT013,4110.2305
FDP59,OUT017,1349.825
FDQ24,OUT049,4004.0603
FDQ16,OUT018,1438.9033
FDU44,OUT013,2406.1882
FDH28,OUT010,10.634281
FDV28,OUT019,-29.702888
FDM22,OUT045,938.571
FDR56,OUT046,2944.6519
FDV39,OUT049,2986.5159
FDU37,OUT019,179.38597
FDQ11,OUT010,901.9879
FDX02,OUT045,3487.766
NCS42,OUT018,1274.7554
FDY57,OUT027,2831.8687
FDB21,OUT049,3902.8157
FDE28,OUT017,3783.7034
FDQ55,OUT017,2042.1987
FDA48,OUT049,3769.9888
FDZ19,OUT045,2515.3079
NCC43,OUT045,3632.1829
NCV18,OUT046,1420.4562
NCA42,OUT018,2226.9329
FDY45,OUT046,3859.1023
NCC30,OUT045,2737.5068
FDM57,OUT013,1320.4742
FDL09,OUT010,247.97763
FDB09,OUT027,3312.2844
FDT44,OUT035,1923.8965
NCT06,OUT027,4185.5317
FDX26,OUT049,3250.443
FDK32,OUT013,2586.9795
DRA12,OUT046,2103.1
FDO46,OUT010,659.07587
FDE52,OUT013,1343.5527
NCH42,OUT045,3713.5188
FDV08,OUT035,898.1512
FDB47,OUT018,3195.1697
FDC28,OUT010,210.76302
FDD22,OUT046,1841.0276
FDS07,OUT027,3121.7122
DRI13,OUT045,3521.0403
FDG32,OUT018,3147.2852
FDU14,OUT017,4043.9924
FDD28,OUT019,68.89482
NCP41,OUT017,1830.3673
FDS08,OUT049,2599.804
FDX47,OUT045,2542.7124
FDC53,OUT019,270.54263
FDQ19,OUT035,3628.1453
FDL14,OUT045,2432.3276
FDM33,OUT019,471.87082
FDA51,OUT045,2026.1486
FDZ27,OUT018,701.3545
FDT04,OUT046,745.871
DRC13,OUT049,2112.2468
FDR16,OUT027,4981.173
FDQ03,OUT027,6191.028
FDE38,OUT035,2697.11
DRH23,OUT027,1872.4292
FDT11,OUT019,628.32794
FDD09,OUT035,3321.011
FDR40,OUT045,1325.8685
FDX07,OUT017,3377.647
FDR07,OUT035,2930.839
FDA51,OUT017,2314.4758
FDT59,OUT019,838.64716
FDF20,OUT017,3215.825
FDR13,OUT045,1926.5415
FDY26,OUT049,3646.061
FDW04,OUT017,2100.9124
FDK52,OUT017,3949.4727
FDN60,OUT049,2885.7612
FDM09,OUT019,492.52264
FDP46,OUT049,1403.6526
FDB50,OUT019,145.02003
NCQ29,OUT049,3844.2603
FDP16,OUT027,6389.3584
FDX33,OUT018,2214.6458
FDP07,OUT010,537.8578
FDN22,OUT046,3694.5784
FDF39,OUT049,4241.154
FDS21,OUT017,1174.8827
NCM42,OUT013,1474.5756
FDK50,OUT019,375.31216
DRF13,OUT027,3575.0198
FDH35,OUT018,2374.6213
FDP60,OUT018,1356.786
DRJ49,OUT027,3154.9033
NCT42,OUT019,357.62576
FDE38,OUT049,2683.046
FDI04,OUT049,3244.0732
NCH54,OUT045,2522.734
FDT56,OUT049,1191.5394
DRD15,OUT018,2987.7815
FDV58,OUT013,2491.0752
FDP21,OUT049,3268.797
FDH05,OUT013,3647.1213
FDR10,OUT027,4117.6113
NCP06,OUT045,2011.3142
FDF33,OUT049,1897.8097
DRK37,OUT013,3575.2034
DRH49,OUT045,1305.3339
FDT58,OUT013,2606.3557
FDD41,OUT018,1523.9779
FDP40,OUT018,1721.2589
FDM51,OUT027,2841.7183
FDO45,OUT010,93.619705
FDW33,OUT010,248.8918
FDY24,OUT045,1193.4155
FDB10,OUT010,678.3727
FDM40,OUT035,2415.4626
NCI06,OUT017,3084.5667
FDW12,OUT019,459.80695
FDX48,OUT027,3959.6008
NCW05,OUT027,2921.506
FDX27,OUT017,1632.4858
DRM37,OUT045,3068.8499
FDA38,OUT045,3844.3062
FDR36,OUT046,724.51337
FDZ45,OUT046,3080.4119
FDG05,OUT017,2592.2263
FDK28,OUT013,4295.9575
FDV47,OUT045,1353.5935
FDN21,OUT045,2415.1611
FDP20,OUT027,3070.532
FDI35,OUT045,3203.3296
DRY23,OUT013,597.46606
FDA56,OUT017,2055.6296
FDB09,OUT013,2005.7635
NCO26,OUT027,2961.585
FDQ49,OUT018,2358.7896
FDI52,OUT027,3276.3887
FDZ44,OUT027,3121.6123
FDZ09,OUT018,2395.897
FDY03,OUT049,1956.9984
NCG42,OUT017,2312.427
DRI13,OUT027,4844.9614
FDQ32,OUT013,1974.1566
FDW16,OUT035,1591.2484
FDU27,OUT046,630.29285
FDR28,OUT010,417.12604
FDQ49,OUT010,571.29346
FDS37,OUT046,2084.911
FDW26,OUT018,2968.2324
FDX12,OUT018,3364.5227
NCP06,OUT013,2267.4795
FDW45,OUT010,408.23007
NCN30,OUT049,1694.7661
FDN24,OUT049,576.75104
NCL41,OUT027,1201.5635
FDR02,OUT019,195.65152
FDD09,OUT010,691.1873
FDS33,OUT010,42.55493
FDU22,OUT045,1782.9371
FDI53,OUT013,2433.4587
DRH01,OUT049,2913.3936
FDX32,OUT013,2347.7266
NCP30,OUT018,421.70215
FDB60,OUT045,3033.458
FDB14,OUT049,1624.5007
NCP02,OUT035,1043.4613
FDJ10,OUT017,2238.6187
FDG34,OUT046,1875.7823
NCB18,OUT017,1431.1228
FDM16,OUT049,1318.8805
FDW25,OUT018,1248.3198
FDB35,OUT010,156.11612
DRN11,OUT013,2187.3857
FDF41,OUT019,506.21646
FDH16,OUT045,1215.4048
NCQ50,OUT018,3120.7258
DRH23,OUT018,713.60956
DRJ37,OUT013,2484.305
DRJ24,OUT027,4637.9375
FDY16,OUT035,3219.4004
FDQ27,OUT045,1777.4774
FDZ33,OUT045,2269.2012
FDF29,OUT045,2122.9958
FDA08,OUT049,2623.4219
FDG31,OUT046,1099.6617
FDE34,OUT019,677.5892
NCR30,OUT027,2251.3523
FDV33,OUT035,4292.7095
DRZ24,OUT018,1861.1459
NCL54,OUT035,2984.3882
FDR12,OUT049,2986.4124
NCC54,OUT046,3558.0352
DRN59,OUT013,835.7487
FDX50,OUT019,146.9007
FDV31,OUT027,4527.5405
NCA29,OUT027,4595.4087
FDW60,OUT049,3009.331
FDX08,OUT017,3563.204
DRD49,OUT013,3723.9521
FDD33,OUT046,3544.7212
FDW35,OUT013,679.77106
FDJ36,OUT017,1831.4349
FDV51,OUT035,2803.2468
FDW36,OUT046,1681.3085
FDH35,OUT046,2500.962
NCS30,OUT027,3309.6687
FDN49,OUT017,779.3749
FDL08,OUT018,3313.4255
FDI09,OUT013,3983.4937
FDP19,OUT018,1869.054
FDU21,OUT010,10.902912
NCP41,OUT045,1519.5048
FDY10,OUT013,2006.2883
FDP12,OUT018,420.92706
NCN26,OUT049,2044.2046
FDK44,OUT013,2704.7673
FDC28,OUT049,1692.6548
FDJ41,OUT027,5717.2095
NCT29,OUT035,2201.65
NCH42,OUT019,680.28424
FDU60,OUT018,2443.8867
FDS02,OUT045,3135.3003
FDC51,OUT046,2033.7449
FDU03,OUT013,3146.5405
FDX39,OUT045,3795.1003
NCY05,OUT010,17.829819
NCL06,OUT027,6010.092
FDD32,OUT035,1504.4897
NCN41,OUT045,1970.7919
NCX53,OUT049,2390.783
FDU57,OUT019,494.55435
FDQ23,OUT046,1740.39
FDQ52,OUT045,4040.106
FDC14,OUT045,734.8594
FDY09,OUT035,3079.099
FDQ28,OUT045,2560.9568
FDV25,OUT046,3679.576
FDJ07,OUT035,1891.028
DRB25,OUT049,1722.6388
FDK52,OUT019,513.71924
FDY52,OUT027,1848.0504
FDB28,OUT046,2915.588
FDT36,OUT035,793.0148
FDV25,OUT017,3854.494
NCN07,OUT027,3477.5874
FDC57,OUT017,3214.775
FDQ03,OUT018,3231.749
FDU23,OUT017,2960.4849
NCX41,OUT035,3658.865
NCD06,OUT035,908.8227
FDW08,OUT045,1769.4789
NCU29,OUT017,2518.892
NCE06,OUT013,2355.5483
FDV52,OUT010,283.83505
FDB02,OUT017,2904.2139
NCR18,OUT045,614.69446
FDK16,OUT049,1506.0325
NCQ29,OUT010,666.9897
FDZ01,OUT019,354.09882
FDW27,OUT035,2528.1743
FDD17,OUT018,3309.6506
FDW39,OUT013,2782.811
DRH59,OUT045,1150.2672
FDS52,OUT013,1665.1572
FDU40,OUT027,5160.542
NCF54,OUT013,2760.9968
FDH46,OUT045,1563.6685
NCP14,OUT049,1810.985
FDH50,OUT049,3216.487
DRF15,OUT010,339.1261
FDV27,OUT027,2571.5623
NCJ06,OUT049,2130.4143
FDN02,OUT018,3043.2258
FDQ51,OUT049,911.4433
FDQ07,OUT017,3859.685
FDS45,OUT049,1714.1277
NCJ06,OUT045,1923.2299
FDD36,OUT035,2226.3413
FDY25,OUT045,3156.274
FDU52,OUT046,2670.174
DRK47,OUT017,3736.0156
NCL30,OUT017,2171.6294
FDN22,OUT035,3906.4314
NCF30,OUT027,3490.1716
FDK03,OUT035,4391.354
FDT45,OUT017,936.7549
NCC54,OUT027,5741.7964
FDP08,OUT018,2887.86
FDU44,OUT046,2597.1523
DRG39,OUT035,964.13983
FDU32,OUT049,2059.0916
FDY27,OUT049,2785.458
NCP54,OUT013,1997.0503
NCZ41,OUT049,2067.122
DRL49,OUT013,2433.5208
FDI05,OUT018,1073.9451
FDY56,OUT045,3688.262
DRC13,OUT013,1899.3867
NCV29,OUT017,3188.0168
FDR24,OUT049,1510.573
FDZ34,OUT018,2687.4707
FDP37,OUT035,2142.927
FDX08,OUT027,5077.753
FDS57,OUT045,2031.1433
NCG18,OUT049,1878.2189
FDK25,OUT018,2426.211
FDH53,OUT049,1355.0245
DRI59,OUT018,3129.469
FDA52,OUT046,2638.2834
FDT20,OUT010,19.840694
FDE36,OUT019,353.69498
FDI24,OUT017,3064.8467
FDB28,OUT018,2879.1987
FDV11,OUT017,2875.9604
FDP01,OUT046,2626.5134
FDD34,OUT027,3940.5117
FDJ50,OUT027,1813.8746
FDZ44,OUT013,1822.1926
DRO59,OUT035,1303.3768
DRB48,OUT045,834.11475
FDR21,OUT018,2546.1123
NCE42,OUT010,1242.7191
FDO23,OUT046,1500.8718
NCE30,OUT018,3094.564
FDQ22,OUT035,807.14966
FDY01,OUT045,1967.6145
FDS08,OUT017,2596.3406
FDG28,OUT018,3225.414
FDQ51,OUT018,669.32965
FDB05,OUT017,4157.1704
FDO56,OUT049,1914.7792
FDE02,OUT018,1469.3956
FDN45,OUT017,3643.3157
FDS09,OUT013,653.2081
NCA54,OUT018,2663.9783
FDP09,OUT010,706.1517
FDC53,OUT045,1372.9209
NCM55,OUT017,3219.4417
FDL09,OUT018,2425.297
FDA11,OUT019,99.244156
FDA50,OUT045,1372.9453
FDC23,OUT017,3155.3894
FDE22,OUT049,2589.0684
FDD23,OUT046,3077.9722
NCA29,OUT049,3003.8098
FDK38,OUT046,2431.3398
DRC13,OUT046,2002.407
NCP43,OUT049,2980.9
FDX28,OUT049,1604.938
FDF08,OUT049,1530.6044
FDZ33,OUT046,2377.2717
FDD10,OUT049,2483.0222
FDO58,OUT017,2730.2864
FDI50,OUT017,3992.5713
FDO58,OUT045,2454.0342
FDX08,OUT013,3194.9758
NCK17,OUT010,-1.1508899
FDF39,OUT035,4374.8945
FDU45,OUT010,270.83093
NCJ18,OUT018,1578.6509
DRC27,OUT019,411.86887
DRC25,OUT035,1414.0662
FDU59,OUT035,2542.2668
FDU28,OUT035,3074.4443
NCP30,OUT046,564.25854
FDB39,OUT018,732.0067
FDE41,OUT013,1318.5623
DRH11,OUT010,63.146843
FDA58,OUT045,3586.8035
FDU50,OUT046,2050.5728
FDM34,OUT013,1982.7114
FDM44,OUT027,2493.57
FDR39,OUT045,3045.805
FDM25,OUT045,2815.292
FDQ49,OUT049,2758.5315
DRH25,OUT018,693.19293
FDM09,OUT027,4614.822
FDL44,OUT019,532.5999
NCR42,OUT018,512.2325
DRL59,OUT046,817.7517
FDX43,OUT013,2532.8538
DRK47,OUT010,538.93866
FDU48,OUT018,1747.6017
FDY12,OUT045,842.347
NCN43,OUT018,1791.3246
NCM55,OUT018,2742.0127
FDQ21,OUT027,3714.4404
FDX13,OUT035,4150.147
NCK30,OUT027,5739.561
FDG20,OUT049,2776.7068
DRG27,OUT017,794.02905
FDY14,OUT018,3849.234
FDP59,OUT035,1673.5472
FDU60,OUT017,2821.3606
NCC18,OUT019,675.533
DRJ39,OUT017,3793.4187
FDS07,OUT049,2002.3535
FDM08,OUT027,5826.6626
FDP51,OUT045,1923.9565
FDU16,OUT035,1452.1139
FDH12,OUT013,1679.4441
DRE48,OUT010,780.54816
NCL42,OUT027,6200.713
FDR21,OUT045,2696.6892
NCW29,OUT035,2263.6035
FDO11,OUT013,4517.0605
NCM31,OUT049,2361.5542
FDV35,OUT019,371.3201
FDF58,OUT017,1107.9946
NCE43,OUT049,2792.0952
FDA02,OUT035,2711.565
DRL37,OUT010,50.263237
FDR24,OUT018,1278.9843
FDW59,OUT049,1456.7854
FDS22,OUT049,966.93744
FDW24,OUT017,854.22675
FDU24,OUT035,1759.7428
FDA21,OUT027,5226.092
FDH58,OUT027,3337.7488
FDW36,OUT018,1318.0713
FDI45,OUT027,4709.5234
FDU01,OUT018,2946.01
FDF35,OUT027,2904.9395
FDU43,OUT019,537.1008
